host,dnt,user-agent,accept,accept-encoding,accept-language,ad,canvas,cookies,font-flash,language-flash,platform-flash,languages-js,platform,plugins,screen_width,screen_height,screen_depth,storage_local,storage_session,timezone,userAgent-js,webGLVendor,webGLRenderer
1,1,96,8,6,43,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,1,97,9,7,44,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,1,98,10,8,45,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,1,99,11,9,46,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,100,2,0,15,1,93,0,0,0,0,15,2,0,1,1,0,0,0,11,96,3,74
1,1,27,1,0,12,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,0,101,3,3,13,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
0,0,27,3,0,12,1,14,0,0,0,0,3,1,1,17,0,0,0,0,1,68,2,2
0,0,102,2,0,15,1,94,0,0,0,0,15,2,0,1,1,0,0,0,11,97,3,75
0,0,103,3,0,47,1,95,0,0,0,0,40,9,1,16,42,0,0,0,23,98,12,49
1,0,101,3,3,13,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
1,0,101,3,3,13,2,17,1,2,2,2,12,6,9,8,10,4,1,1,9,16,8,16
2,0,104,1,0,12,0,85,0,0,0,0,3,0,1,0,0,0,0,0,16,99,0,4
0,1,82,3,0,12,1,96,0,0,0,0,3,9,1,16,43,0,0,0,4,84,13,76
0,0,44,3,0,13,1,15,0,0,0,0,6,5,1,7,9,1,0,0,5,42,7,14
0,0,105,3,0,47,1,95,0,0,0,0,40,9,1,16,42,0,0,0,23,100,12,49
0,1,106,12,10,48,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,107,13,11,49,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,108,14,12,50,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,109,15,13,51,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,110,16,14,52,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,11,1,0,12,0,97,0,1,1,1,3,2,6,15,17,0,0,0,3,11,3,77
0,1,111,17,15,53,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,112,18,16,54,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,113,19,17,55,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,0,20,5,0,38,1,98,0,0,0,0,37,2,0,0,0,0,0,0,16,20,3,78
0,1,114,20,18,56,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,0,20,5,0,38,1,99,0,0,0,0,37,2,0,0,0,0,0,0,16,20,3,79
0,1,115,21,19,57,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,116,22,20,58,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,117,23,21,59,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,118,24,22,60,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,119,25,23,61,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,120,26,24,62,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,121,27,25,63,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,122,28,26,64,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,123,1,0,11,0,100,0,0,0,0,11,0,1,4,4,0,0,0,0,101,0,6
0,1,124,29,27,65,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,125,2,0,12,1,101,0,0,0,0,3,1,1,5,6,0,0,0,3,102,2,2
0,1,126,30,28,66,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,126,30,28,66,1,14,0,0,0,0,3,2,1,0,44,0,0,0,1,26,2,2
0,1,127,1,0,12,0,102,0,0,0,0,3,1,1,3,3,0,0,0,12,103,1,80
0,1,128,31,29,67,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,129,32,30,68,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
0,1,130,33,31,69,1,14,3,0,0,0,3,2,1,0,44,0,3,3,1,26,2,2
